Q9VVT5	Q9VVB4
Q8IP72	Q8IP72
Q9VCY3	Q9V345
P08928	Q9VD23
P08928	Q8T3J9
Q9VGH5	Q9VHC7
Q9VWQ2	Q7JR71
Q7JVI3	Q9VD23
Q9VWZ1	Q8I8V0
Q9VZX9	P23696
O18640	P40427
Q10714	Q8T3J9
Q9VTQ9	Q9VFS8
Q9VS59	Q9VHR7
Q9W2K8	Q9VHR7
Q9VNX6	Q7JR71
Q9V3P2	P21461
P00528	P00528
Q94516	P00528
P52029	P00528
Q9VXP3	P00528
Q9VTI8	Q9VRX7
P25843	P32392
O46036	Q9VFK4
O46036	Q9VIE7
O46036	Q9VFR0
P49630	Q8MLW7
Q9VUQ1	Q9VUQ1
Q9VUQ1	Q9VIJ0
P25843	Q9VUQ1
Q9VUQ1	A1ZBJ8
Q9VHF0	Q9VHF0
Q9VFV9	Q9VX24
Q94516	Q9VIJ0
Q9VIE8	Q7KNA0
Q9VHL2	Q9VS38
P61209	Q9VRX7
Q9W1T1	P05205
Q9VHG5	Q9V3E3
Q9VHG5	Q9VHG6
P62152	Q9VQQ3
P62152	Q9VQQ3
P62152	Q9VFQ9
Q94518	Q9VH66
Q9VXN3	Q9VXN3
Q9VS59	Q7JR71
Q7KLE5	Q9V6B9
Q9U9Q2	Q9U9Q2
Q8MLW7	Q9U9Q2
Q8I8V0	Q9U9Q2
Q9VXI1	Q9U9Q2
Q95TJ6	Q9V345
P48605	Q9V345
Q9V535	P49028
Q9V447	Q9VFQ9
Q9VIE8	Q8MSX2
Q9VW13	Q8I8V0
Q9VHC7	Q9VHC7
O61444	Q8MLW7
Q9W5W8	Q9W5W8
Q9VQF7	Q8I8V0
Q9VVX3	A1ZBJ8
Q9VHG6	Q9VHG6
P21461	Q27934
Q27934	P21461
P49906	Q9VIP1
Q9VIP1	P49906
O17445	Q9VUY2
O17445	A1Z8V7
O17445	P15372
Q08605	Q7KRI2
P41046	P41046
P41046	Q24338
P41046	P42124
P41046	Q08605
Q7KRI2	Q7KRI2
Q7KRI2	Q08605
Q9VEZ5	Q9GYV5
Q9V452	Q9V444
P49028	Q9V535
O46036	P14003
P55035	P52486
Q9VYG1	Q9VE86
Q24564	Q24564
Q24564	Q24564
Q24564	Q24564
Q24564	Q24564
Q24564	Q24564
Q95TJ9	Q24564
Q9VBX7	Q24564
Q05825	Q24564
P46150	P46150
Q9VK18	P46150
Q8SXR4	P46150
Q8SXR4	P46150
Q9VRE4	P46150
Q9VRE4	P46150
P46150	P46150
P46150	P46150
P46150	P46150
P48603	P46150
P48603	P46150
Q24306	Q9XYF4
O01382	O01382
O97111	P40792
P40792	Q7K2X1
Q9VI13	P40792
O77430	Q9VDE3
Q27297	Q9VM59
Q9W123	Q27297
Q27297	Q27297
Q94524	P42287
P21461	P42287
P05205	P42287
Q9VVT5	Q960X8
Q7KLE5	Q960X8
Q03017	Q960X8
Q23983	Q960X8
Q9VPL5	Q960X8
P07666	Q960X8
O46084	Q24564
Q9VLK2	Q24564
Q9VYG2	Q24564
Q8SY46	Q24564
P49866	Q01083
Q7JXA8	Q01083
Q7KLE5	Q7KLE5
A1Z7K2	P18489
Q9VBL3	P18489
Q7JQN4	Q24564
Q9VPY9	Q24564
Q9VXY7	Q24564
Q07327	Q24564
Q24311	Q24564
Q9VTZ7	Q24090
Q9W2N0	Q24090
Q95RI5	Q24090
Q9VK69	Q24090
Q9W3D6	Q24090
P52304	Q9VAT2
Q23973	P52304
P46150	Q24564
